Issue Key|Summary|Issue Type|Status|Assignee|Reporter|Created|Updated|Priority|Description|Labels|Story Points|Sprint
ECOM-19814|Enhance design, optimize DevOps activities.|Task|Done|DEV-Luca|PO-Marco|2024-02-07|2024-02-10|Low|Task to design, DevOps activities, and ordering component. Unique task identifier: c19363d5-64ac-4b69-8b17-f5aefce11535.|technical, Mancini|3|3
ECOM-25383|Enhance implementation, optimize invoice component.|Task|Done|DEV-Anna|PO-Sergio|2024-02-07|2024-02-17|High|Task to implementation, invoice component, and frontend Angular. Unique task identifier: 7ef096c8-eaab-463b-8b91-4d769856bef5.|functional, Mancini|20|3
ECOM-59913|Enhance microservice backend, optimize design.|Task|Open|DEV-Luca|PO-Giulia|2024-02-06|2024-02-11|High|Task to microservice backend, design, and invoice component. Unique task identifier: e17023f1-037e-459f-a35d-d706a51e9816.|functional, Mancini|5|3
ECOM-18035|Enhance backend Java, optimize frontend Angular.|Bug|Done|DEV-Francesca|PO-Giulia|2024-02-04|2024-02-13|High|Task to backend Java, frontend Angular, and DevOps activities. Unique task identifier: be19abd1-11f4-4ab3-985b-91fb57615568.|functional, Mancini|13|3
ECOM-51558|Enhance microservice backend, optimize frontend Angular.|Story|In Progress|DEV-Francesca|PO-Anna|2024-02-07|2024-02-08|Medium|Task to microservice backend, frontend Angular, and ordering component. Unique task identifier: c7537dc4-3fe4-420e-9046-bff45a3c79ed.|functional, Mancini|1|3
ECOM-41999|Enhance ordering component, optimize performance.|Story|Open|DEV-Luca|PO-Sergio|2024-02-01|2024-02-04|Medium|Task to ordering component, performance, and backend Java. Unique task identifier: 4fb5d641-d2d6-4483-9c23-77169af501a0.|functional, Mancini|3|3
ECOM-76379|Enhance frontend Angular, optimize design.|Bug|Open|DEV-Francesca|PO-Francesca|2024-02-07|2024-02-09|Low|Task to frontend Angular, design, and DevOps activities. Unique task identifier: 2fa3e103-2842-4d25-8548-aa48efe91d7a.|technical, Mancini|2|3
ECOM-02761|Enhance microservice backend, optimize DevOps activities.|Story|Open|DEV-Sergio|PO-Sergio|2024-01-29|2024-01-30|Medium|Task to microservice backend, DevOps activities, and cart component. Unique task identifier: 559bd7fd-39d3-484c-aa0d-8d686182fb8d.|technical, Mancini|1|3
ECOM-97224|Enhance frontend Angular, optimize cart component.|Task|In Progress|DEV-Anna|PO-Anna|2024-01-06|2024-01-13|High|Task to frontend Angular, cart component, and implementation. Unique task identifier: b6560e06-65dd-44b3-bcbd-5994ff1be415.|technical, Buffon|8|1
ECOM-55193|Enhance DevOps activities, optimize implementation.|Bug|In Progress|DEV-Marco|PO-Giulia|2024-01-02|2024-01-09|Medium|Task to DevOps activities, implementation, and design. Unique task identifier: 0ab931d9-86bf-42eb-872c-cd761d29b9c7.|functional, Buffon|8|1
ECOM-49396|Enhance implementation, optimize DevOps activities.|Bug|Done|DEV-Giulia|PO-Marco|2024-01-10|2024-01-17|Medium|Task to implementation, DevOps activities, and design. Unique task identifier: cdc303ed-580e-4370-8fce-041780876309.|functional, Buffon|8|1
ECOM-57632|Enhance performance, optimize DevOps activities.|Task|In Progress|DEV-Giulia|PO-Francesca|2024-01-11|2024-01-18|Medium|Task to performance, DevOps activities, and microservice backend. Unique task identifier: 8ce14de8-6e03-48bc-8648-7205781384bc.|functional, Buffon|8|1
ECOM-32962|Enhance invoice component, optimize DevOps activities.|Story|In Progress|DEV-Giulia|PO-Giulia|2024-01-08|2024-01-13|High|Task to invoice component, DevOps activities, and implementation. Unique task identifier: a421aca0-e956-4713-8113-602c620d9d9e.||5|1
ECOM-83622|Enhance performance, optimize backend Java.|Task|Open|DEV-Marco|PO-Anna|2024-01-07|2024-01-12|Low|Task to performance, backend Java, and frontend Angular. Unique task identifier: 2ac01d2f-eecf-4c54-98e6-ab4dd08f5a3b.|technical, Buffon|5|1
ECOM-01860|Enhance invoice component, optimize cart component.|Bug|In Progress|DEV-Giulia|PO-Luca|2024-01-04|2024-01-13|High|Task to invoice component, cart component, and ordering component. Unique task identifier: f997c5fb-7f26-435e-a0a4-6857d495708b.|functional, Buffon|13|1
ECOM-23876|Enhance cart component, optimize design.|Task|Done|DEV-Marco|PO-Anna|2024-01-09|2024-01-19|Low|Task to cart component, design, and frontend Angular. Unique task identifier: b6d7467e-b0a7-4099-a86b-9c39c767b0e3.|technical, Buffon|20|1
ECOM-18972|Enhance ordering component, optimize implementation.|Story|Done|DEV-Sergio|PO-Marco|2024-01-03|2024-01-05|High|Task to ordering component, implementation, and performance. Unique task identifier: 89f473ab-1c4a-45dd-afc9-0482a828f8c8.|technical, Buffon|2|1
ECOM-47666|Enhance performance, optimize invoice component.|Story|In Progress|DEV-Sergio|PO-Anna|2024-01-11|2024-01-13|Medium|Task to performance, invoice component, and DevOps activities. Unique task identifier: 8697b10e-a867-4037-8d11-b746024391b6.|technical, Buffon|2|1
ECOM-30150|Enhance DevOps activities, optimize cart component.|Story|Done|DEV-Luca|PO-Francesca|2024-01-04|2024-01-05|Low|Task to DevOps activities, cart component, and ordering component. Unique task identifier: fe88ce5b-c217-4558-8be0-f752ab95ceb0.|functional, Buffon|1|1
ECOM-89071|Enhance implementation, optimize frontend Angular.|Bug|Done|DEV-Francesca|PO-Marco|2024-01-22|2024-01-29|Low|Task to implementation, frontend Angular, and backend Java. Unique task identifier: 0771c6fe-d7ab-48d7-b7b1-fab1b8cc3408.|functional, Buffon|8|2
ECOM-83190|Enhance DevOps activities, optimize frontend Angular.|Task|Open|DEV-Luca|PO-Anna|2024-01-25|2024-02-01|Low|Task to DevOps activities, frontend Angular, and implementation. Unique task identifier: 0fdc3b4d-bc63-4830-90f2-3a62d5b3ff49.|functional, Buffon|8|2
ECOM-76104|Enhance ordering component, optimize design.|Bug|Open|DEV-Marco|PO-Giulia|2024-01-18|2024-01-25|Medium|Task to ordering component, design, and backend Java. Unique task identifier: 1ebf81c1-0e3c-4818-a3f3-933013c1341b.|functional, Buffon|8|2
ECOM-82877|Enhance cart component, optimize backend Java.|Task|Open|DEV-Marco|PO-Marco|2024-01-16|2024-01-23|High|Task to cart component, backend Java, and design. Unique task identifier: 790accc2-1285-40f9-9728-7595d682604c.|functional, Buffon|8|2
ECOM-69270|Enhance DevOps activities, optimize invoice component.|Task|Done|DEV-Sergio|PO-Luca|2024-01-18|2024-01-23|High|Task to DevOps activities, invoice component, and design. Unique task identifier: da459e02-9fd6-43ad-ae7e-e3dcaae90fc8.|functional, Buffon|5|2
ECOM-13706|Enhance invoice component, optimize microservice backend.|Story|Open|DEV-Anna|PO-Anna|2024-01-21|2024-01-23|Low|Task to invoice component, microservice backend, and design. Unique task identifier: 903e856c-d0e1-476c-b155-49adcf5244a6.|functional, Buffon|2|2
ECOM-53491|Enhance performance, optimize microservice backend.|Bug|In Progress|DEV-Sergio|PO-Giulia|2024-01-22|2024-01-24|High|Task to performance, microservice backend, and invoice component. Unique task identifier: bc4a5606-cd31-45d8-a654-a95baa61cfb5.|functional, Buffon|2|2
ECOM-17105|Enhance performance, optimize DevOps activities.|Bug|In Progress|DEV-Sergio|PO-Anna|2024-01-25|2024-02-03|High|Task to performance, DevOps activities, and implementation. Unique task identifier: bf3f5b3d-65e2-41ea-9ae6-127a029a6acb.|functional, Buffon|13|2
ECOM-12277|Enhance frontend Angular, optimize design.|Bug|Open|DEV-Sergio|PO-Sergio|2024-01-22|2024-01-31|Low|Task to frontend Angular, design, and ordering component. Unique task identifier: 56a031e2-74e2-4cc8-992c-2cf255b4e968.|technical, Buffon|13|2
ECOM-92545|Enhance ordering component, optimize performance.|Story|Open|DEV-Marco|PO-Luca|2024-01-16|2024-01-17|Low|Task to ordering component, performance, and implementation. Unique task identifier: aa593419-256b-468f-909b-c9313990e57c.|functional, Buffon|1|2
ECOM-81688|Enhance implementation, optimize performance.|Bug|Done|DEV-Anna|PO-Francesca|2024-01-17|2024-01-18|Medium|Task to implementation, performance, and design. Unique task identifier: 40369903-7dcd-4ac2-99f2-09a791906a94.|functional, Buffon|1|2
ECOM-72773|Enhance implementation, optimize frontend Angular.|Task|Done|DEV-Francesca|PO-Francesca|2024-01-18|2024-01-19|High|Task to implementation, frontend Angular, and ordering component. Unique task identifier: c08f96a3-d7fc-404c-a6e4-01754a5c7516.|functional, Buffon|1|2
ECOM-15079|Enhance microservice backend, optimize performance.|Story|Done|DEV-Giulia|PO-Marco|2024-01-23|2024-01-28|Low|Task to microservice backend, performance, and design. Unique task identifier: 67d3fa7d-02cc-4a8a-b1a5-1ff6a9061a60.|functional, Buffon|5|2
ECOM-07686|Enhance backend Java, optimize ordering component.|Task|Done|DEV-Francesca|PO-Giulia|2024-01-23|2024-01-28|Low|Task to backend Java, ordering component, and cart component. Unique task identifier: cf7a5627-c03d-4d4b-9235-26cf4e9d238c.|technical, Buffon|5|2
ECOM-94667|Enhance backend Java, optimize invoice component.|Task|Open|DEV-Anna|PO-Sergio|2024-01-31|2024-02-07|Medium|Task to backend Java, invoice component, and cart component. Unique task identifier: e0f1cfc3-3ecb-4e02-bed1-3d3e6b5d3e93.|functional, Buffon|8|3
ECOM-29830|Enhance ordering component, optimize cart component.|Bug|Open|DEV-Marco|PO-Giulia|2024-02-02|2024-02-09|Medium|Task to ordering component, cart component, and performance. Unique task identifier: bf215278-4cb8-4e02-bc50-63362a63b767.|functional, Buffon|8|3
ECOM-29951|Enhance performance, optimize cart component.|Bug|Done|DEV-Luca|PO-Marco|2024-01-31|2024-02-07|Medium|Task to performance, cart component, and frontend Angular. Unique task identifier: 05fe091e-46cc-41f2-a9e7-6e5e2d7de2ea.|functional, Buffon|8|3
ECOM-82501|Enhance implementation, optimize microservice backend.|Story|In Progress|DEV-Giulia|PO-Francesca|2024-01-29|2024-02-05|High|Task to implementation, microservice backend, and invoice component. Unique task identifier: 036ba3cf-0ded-4bed-b660-8a2e0f883cf9.|functional, Buffon|8|3
ECOM-70376|Enhance invoice component, optimize performance.|Story|Open|DEV-Anna|PO-Giulia|2024-02-01|2024-02-10|High|Task to invoice component, performance, and implementation. Unique task identifier: 8bdb09d8-1457-473a-afed-ef9573635abc.|functional, Buffon|13|3
ECOM-91464|Enhance design, optimize cart component.|Task|Done|DEV-Luca|PO-Marco|2024-02-06|2024-02-07|High|Task to design, cart component, and backend Java. Unique task identifier: ae7a16c4-3a71-45dd-ad2d-b9151f945766.|technical, Buffon|1|3
ECOM-56076|Enhance microservice backend, optimize performance.|Bug|Open|DEV-Anna|PO-Francesca|2024-02-06|2024-02-07|Low|Task to microservice backend, performance, and invoice component. Unique task identifier: 269a8815-3f2d-47f1-a2c2-4faa5b56d962.|functional, Buffon|1|3
ECOM-57163|Enhance cart component, optimize invoice component.|Task|Done|DEV-Giulia|PO-Francesca|2024-02-06|2024-02-16|Low|Task to cart component, invoice component, and implementation. Unique task identifier: 50a2b640-5916-472a-a08c-05c00a7bd154.|functional, Buffon|20|3
ECOM-89242|Enhance design, optimize frontend Angular.|Story|In Progress|DEV-Sergio|PO-Luca|2024-02-08|2024-02-10|High|Task to design, frontend Angular, and cart component. Unique task identifier: a2eb2042-0265-4647-8ec8-41fc4b8fec5a.|functional, Buffon|2|3
ECOM-23527|Enhance microservice backend, optimize design.|Bug|Done|DEV-Francesca|PO-Francesca|2024-02-03|2024-02-04|Medium|Task to microservice backend, design, and DevOps activities. Unique task identifier: eb2c118e-d374-4582-b24e-67ea8808c7ec.|functional, Buffon|1|3
ECOM-81797|Enhance DevOps activities, optimize design.|Bug|Open|DEV-Anna|PO-Giulia|2024-02-01|2024-02-02|Medium|Task to DevOps activities, design, and backend Java. Unique task identifier: 48d3a634-1826-4e37-8a5c-87bf0baf1c09.|technical, Buffon|1|3
ECOM-02725|Enhance cart component, optimize DevOps activities.|Story|In Progress|DEV-Sergio|PO-Francesca|2024-02-01|2024-02-06|Medium|Task to cart component, DevOps activities, and ordering component. Unique task identifier: 9189bc8f-8f89-4e3f-b557-c44776133efb.|functional, Buffon|5|3
ECOM-55066|Enhance cart component, optimize performance.|Task|Done|DEV-Anna|PO-Francesca|2024-01-31|2024-02-03|Medium|Task to cart component, performance, and DevOps activities. Unique task identifier: 58c0d2cb-6a28-4af2-a5c8-9594e12afdd8.|technical, Buffon|3|3
ECOM-11340|Enhance invoice component, optimize cart component.|Bug|Open|DEV-Francesca|PO-Luca|2024-01-30|2024-01-31|High|Task to invoice component, cart component, and performance. Unique task identifier: 0bbdaac4-ed6b-421b-9828-9a7cc064917f.|functional, Buffon|1|3
ECOM-35333|Enhance backend Java, optimize ordering component.|Task|In Progress|DEV-Anna|PO-Luca|2024-01-06|2024-01-13|Medium|Task to backend Java, ordering component, and microservice backend. Unique task identifier: 8435fd51-8885-47e8-9e44-c7417fe88694.|functional, Zola|8|1
ECOM-02456|Enhance cart component, optimize performance.|Bug|In Progress|DEV-Luca|PO-Francesca|2024-01-01|2024-01-08|Low|Task to cart component, performance, and backend Java. Unique task identifier: 53fb15a0-1047-41e9-bed0-f106db94ea98.|technical, Zola|8|1
ECOM-29126|Enhance design, optimize frontend Angular.|Story|In Progress|DEV-Francesca|PO-Marco|2024-01-04|2024-01-11|High|Task to design, frontend Angular, and backend Java. Unique task identifier: b5798b01-9f59-42ad-af59-dcde6eed368c.|technical, Zola|8|1
ECOM-88749|Enhance design, optimize microservice backend.|Task|Open|DEV-Marco|PO-Luca|2024-01-08|2024-01-15|Low|Task to design, microservice backend, and frontend Angular. Unique task identifier: 58fbbe68-7fb5-44ed-a025-176c36e53b99.|functional, Zola|8|1
ECOM-74239|Enhance backend Java, optimize cart component.|Bug|Done|DEV-Francesca|PO-Sergio|2024-01-05|2024-01-06|Medium|Task to backend Java, cart component, and invoice component. Unique task identifier: 9aa5fca6-3b45-4d5f-b6ef-43e4f8f2a651.|functional, Zola|1|1
ECOM-15312|Enhance frontend Angular, optimize microservice backend.|Task|Open|DEV-Luca|PO-Francesca|2024-01-09|2024-01-10|Low|Task to frontend Angular, microservice backend, and design. Unique task identifier: 1c0ad3d1-85fa-4fb2-bfff-da79d1bc3069.|functional, Zola|1|1
ECOM-27713|Enhance performance, optimize microservice backend.|Story|Open|DEV-Luca|PO-Marco|2024-01-08|2024-01-10|Medium|Task to performance, microservice backend, and cart component. Unique task identifier: b093f192-d293-406b-a3bb-f5b86ec9d39e.|functional, Zola|2|1
ECOM-65974|Enhance ordering component, optimize backend Java.|Story|In Progress|DEV-Anna|PO-Anna|2024-01-03|2024-01-08|Low|Task to ordering component, backend Java, and performance. Unique task identifier: 954915e9-7104-4040-b622-a50430ed62ad.|functional, Zola|5|1
ECOM-28109|Enhance frontend Angular, optimize invoice component.|Task|In Progress|DEV-Francesca|PO-Marco|2024-01-06|2024-01-16|Low|Task to frontend Angular, invoice component, and backend Java. Unique task identifier: b47d95ec-44de-4bb1-aa38-016a740ef004.|functional, Zola|20|1
ECOM-79515|Enhance invoice component, optimize ordering component.|Story|Done|DEV-Marco|PO-Sergio|2024-01-07|2024-01-10|Medium|Task to invoice component, ordering component, and microservice backend. Unique task identifier: f2df2ef4-189c-4530-a4e2-ad68532347f8.|technical, Zola|3|1
ECOM-80522|Enhance invoice component, optimize microservice backend.|Story|Open|DEV-Marco|PO-Marco|2024-01-02|2024-01-03|High|Task to invoice component, microservice backend, and implementation. Unique task identifier: 68245d6b-2346-44f2-be75-72e6cc888fb5.|functional, Zola|1|1
ECOM-48409|Enhance invoice component, optimize microservice backend.|Bug|Open|DEV-Giulia|PO-Marco|2024-01-08|2024-01-17|Medium|Task to invoice component, microservice backend, and frontend Angular. Unique task identifier: 8da5b8f4-1b43-423c-b181-22a0dceca4b9.|functional, Zola|13|1
ECOM-40459|Enhance microservice backend, optimize backend Java.|Story|Open|DEV-Luca|PO-Anna|2024-01-08|2024-01-09|High|Task to microservice backend, backend Java, and cart component. Unique task identifier: 783f3d5b-80cb-4dd6-8fc9-85d3226018fc.|functional, Zola|1|1
ECOM-29581|Enhance microservice backend, optimize implementation.|Bug|Open|DEV-Anna|PO-Sergio|2024-01-04|2024-01-05|Medium|Task to microservice backend, implementation, and invoice component. Unique task identifier: 6cfeefa3-5d9c-4cb1-bb4f-7ffe9031ba76.|technical, Zola|1|1
ECOM-44729|Enhance microservice backend, optimize implementation.|Task|In Progress|DEV-Anna|PO-Francesca|2024-01-24|2024-01-31|High|Task to microservice backend, implementation, and frontend Angular. Unique task identifier: 2d7fa761-2a57-4bb1-ab7a-fbecdf742dc2.|functional, Zola|8|2
ECOM-53154|Enhance implementation, optimize cart component.|Bug|Open|DEV-Marco|PO-Marco|2024-01-16|2024-01-23|Medium|Task to implementation, cart component, and microservice backend. Unique task identifier: 2255b737-14b7-461b-8ee4-1d25b58d1869.|functional, Zola|8|2
ECOM-58734|Enhance backend Java, optimize cart component.|Bug|Open|DEV-Francesca|PO-Anna|2024-01-23|2024-01-30|Medium|Task to backend Java, cart component, and invoice component. Unique task identifier: 5bbc69b0-8d46-4e01-a981-58ff2327db5e.|functional, Zola|8|2
ECOM-94518|Enhance microservice backend, optimize ordering component.|Bug|Open|DEV-Luca|PO-Sergio|2024-01-19|2024-01-26|Low|Task to microservice backend, ordering component, and implementation. Unique task identifier: c896c20c-81cc-4f16-9c13-f29ae3400146.|technical, Zola|8|2
ECOM-30660|Enhance design, optimize DevOps activities.|Task|Open|DEV-Anna|PO-Anna|2024-01-17|2024-01-26|Medium|Task to design, DevOps activities, and invoice component. Unique task identifier: 41ec6062-43cd-4162-b362-e587121b5a7e.|functional, Zola|13|2
ECOM-52389|Enhance frontend Angular, optimize ordering component.|Task|Open|DEV-Giulia|PO-Marco|2024-01-15|2024-01-25|Medium|Task to frontend Angular, ordering component, and DevOps activities. Unique task identifier: 910b6a29-5e04-47ba-a6b4-8a42459a7983.|functional, Zola|20|2
ECOM-43670|Enhance DevOps activities, optimize ordering component.|Task|Open|DEV-Francesca|PO-Sergio|2024-01-20|2024-01-22|Low|Task to DevOps activities, ordering component, and implementation. Unique task identifier: cb6a5112-26a7-46a9-aac2-dbea61342e26.|functional, Zola|2|2
ECOM-57791|Enhance ordering component, optimize invoice component.|Story|Open|DEV-Luca|PO-Luca|2024-01-25|2024-01-26|Low|Task to ordering component, invoice component, and performance. Unique task identifier: d59ed1ae-9374-4624-99d3-6c6b819427d8.|functional, Zola|1|2
ECOM-57252|Enhance microservice backend, optimize design.|Task|Done|DEV-Francesca|PO-Anna|2024-01-15|2024-01-20|Low|Task to microservice backend, design, and invoice component. Unique task identifier: 9a8a8a4e-2b94-4665-8c17-47858d8fa0d3.|functional, Zola|5|2
ECOM-76899|Enhance invoice component, optimize DevOps activities.|Task|Done|DEV-Anna|PO-Luca|2024-01-20|2024-01-23|Low|Task to invoice component, DevOps activities, and microservice backend. Unique task identifier: 3f04d9ff-53a9-49a9-beef-69c0c7cd7f13.|technical, Zola|3|2
ECOM-14616|Enhance ordering component, optimize invoice component.|Task|In Progress|DEV-Luca|PO-Marco|2024-01-16|2024-01-17|Low|Task to ordering component, invoice component, and DevOps activities. Unique task identifier: 24677a92-4aab-4609-9bd8-4ad4043fde8b.|functional, Zola|1|2
ECOM-19200|Enhance cart component, optimize backend Java.|Bug|In Progress|DEV-Anna|PO-Anna|2024-01-20|2024-01-23|High|Task to cart component, backend Java, and invoice component. Unique task identifier: 1606186e-9162-4eea-b122-53d81823b9d9.|technical, Zola|3|2
ECOM-09451|Enhance implementation, optimize ordering component.|Story|Open|DEV-Giulia|PO-Sergio|2024-02-01|2024-02-08|High|Task to implementation, ordering component, and performance. Unique task identifier: e96cc597-3aca-40e9-8e4a-629a9271d0b5.|technical, Zola|8|3
ECOM-97821|Enhance performance, optimize design.|Task|Open|DEV-Sergio|PO-Anna|2024-01-30|2024-02-06|Low|Task to performance, design, and backend Java. Unique task identifier: 1847f96e-9209-4650-bc18-641f65555365.|functional, Zola|8|3
ECOM-10719|Enhance microservice backend, optimize backend Java.|Task|Open|DEV-Francesca|PO-Sergio|2024-02-02|2024-02-09|High|Task to microservice backend, backend Java, and frontend Angular. Unique task identifier: e3160ca2-0582-456a-a81c-4b18ea5f5b95.|technical, Zola|8|3
ECOM-88223|Enhance design, optimize invoice component.|Task|Done|DEV-Francesca|PO-Giulia|2024-02-04|2024-02-11|Low|Task to design, invoice component, and DevOps activities. Unique task identifier: d9d4c6f7-ffc5-4855-9c35-2a62c3c1ae26.|functional, Zola|8|3
ECOM-93917|Enhance DevOps activities, optimize microservice backend.|Task|Done|DEV-Francesca|PO-Anna|2024-01-29|2024-02-01|High|Task to DevOps activities, microservice backend, and performance. Unique task identifier: dc3c3b8a-c218-4a97-ba99-03ea12510284.|functional, Zola|3|3
ECOM-54395|Enhance design, optimize cart component.|Task|Done|DEV-Marco|PO-Marco|2024-02-05|2024-02-07|Low|Task to design, cart component, and microservice backend. Unique task identifier: b9329c93-8d32-4349-b4ce-8cc2273d8e02.|technical, Zola|2|3
ECOM-39645|Enhance ordering component, optimize implementation.|Bug|Done|DEV-Francesca|PO-Luca|2024-01-30|2024-01-31|Low|Task to ordering component, implementation, and DevOps activities. Unique task identifier: 72d67cbb-a300-4098-b4d6-b13d76fdc9e3.|functional, Zola|1|3
ECOM-65596|Enhance design, optimize ordering component.|Story|Done|DEV-Marco|PO-Anna|2024-02-04|2024-02-07|Low|Task to design, ordering component, and backend Java. Unique task identifier: 6d22b358-a2ff-46b4-8375-bcf62520725e.|functional, Zola|3|3
ECOM-67764|Enhance design, optimize ordering component.|Story|Open|DEV-Francesca|PO-Luca|2024-02-01|2024-02-04|Medium|Task to design, ordering component, and microservice backend. Unique task identifier: 6788b028-6cc1-4bce-a1ab-6e200efd9e00.|functional, Zola|3|3
ECOM-36276|Enhance frontend Angular, optimize cart component.|Story|In Progress|DEV-Anna|PO-Luca|2024-02-04|2024-02-14|Low|Task to frontend Angular, cart component, and performance. Unique task identifier: a0e44b83-f90a-4122-805e-dd67ef7ab758.|functional, Zola|20|3
ECOM-26010|Enhance implementation, optimize backend Java.|Bug|Done|DEV-Luca|PO-Anna|2024-02-08|2024-02-11|High|Task to implementation, backend Java, and cart component. Unique task identifier: 1cb8a7f7-3c02-47b1-a3ae-ff6a24000722.|technical, Zola|3|3
ECOM-18709|Enhance implementation, optimize microservice backend.|Task|In Progress|DEV-Sergio|PO-Anna|2024-02-04|2024-02-06|Medium|Task to implementation, microservice backend, and DevOps activities. Unique task identifier: b233e73c-faeb-4a44-bdac-78f12bcd70c1.|technical, Zola|2|3
ECOM-73435|Enhance design, optimize frontend Angular.|Story|In Progress|DEV-Marco|PO-Anna|2024-02-03|2024-02-05|Low|Task to design, frontend Angular, and DevOps activities. Unique task identifier: f22f6ab9-be68-4da4-b9c2-4360f48c49cc.|functional, Zola|2|3
ECOM-86591|Enhance backend Java, optimize performance.|Task|In Progress|DEV-Giulia|PO-Giulia|2024-02-05|2024-02-06|High|Task to backend Java, performance, and microservice backend. Unique task identifier: 208d835c-95df-445b-bb70-467530b18fc5.|functional, Zola|1|3
ECOM-57234|Enhance cart component, optimize microservice backend.|Task|Open|DEV-Sergio|PO-Francesca|2024-01-29|2024-01-30|Low|Task to cart component, microservice backend, and frontend Angular. Unique task identifier: 7ea31503-f4fc-44b2-b5d6-973e1b679e0e.|functional, Zola|1|3
ECOM-81155|Enhance microservice backend, optimize backend Java.|Task|In Progress|DEV-Marco|PO-Marco|2024-02-07|2024-02-09|Low|Task to microservice backend, backend Java, and design. Unique task identifier: 612f8db9-1d6b-4621-8165-1ac1899524d9.|technical, Zola|2|3
ECOM-26909|Enhance DevOps activities, optimize ordering component.|Story|Done|DEV-Sergio|PO-Anna|2024-01-29|2024-02-01|Low|Task to DevOps activities, ordering component, and implementation. Unique task identifier: 59b7e7a9-7343-407c-b6fc-a7e726941057.|functional, Zola|3|3
ECOM-21278|Enhance performance, optimize backend Java.|Task|In Progress|DEV-Francesca|PO-Giulia|2024-01-29|2024-01-30|Low|Task to performance, backend Java, and cart component. Unique task identifier: 1456987a-70ae-4f5f-b559-78180c471d72.|functional, Zola|1|3
ECOM-22344|Enhance ordering component, optimize microservice backend.|Story|Open|DEV-Francesca|PO-Francesca|2024-02-03|2024-02-04|Low|Task to ordering component, microservice backend, and cart component. Unique task identifier: b01cc253-dbb8-4110-9686-6c5e4868e813.|technical, Zola|1|3
ECOM-00857|Enhance ordering component, optimize design.|Story|Open|DEV-Anna|PO-Marco|2024-01-08|2024-01-15|Medium|Task to ordering component, design, and backend Java. Unique task identifier: 1898cc19-73ec-4c93-9118-d3497970837d.|technical, Materazzi|8|1
ECOM-12456|Enhance microservice backend, optimize implementation.|Story|Done|DEV-Francesca|PO-Francesca|2024-01-08|2024-01-15|Medium|Task to microservice backend, implementation, and cart component. Unique task identifier: 97baba53-7bd7-4713-b4c3-f605879c2378.|functional, Materazzi|8|1
ECOM-32231|Enhance frontend Angular, optimize backend Java.|Bug|Open|DEV-Luca|PO-Francesca|2024-01-02|2024-01-09|High|Task to frontend Angular, backend Java, and DevOps activities. Unique task identifier: 4db09a7c-512b-4157-aa8f-97cd1cefd462.|technical, Materazzi|8|1
ECOM-21173|Enhance microservice backend, optimize ordering component.|Task|In Progress|DEV-Giulia|PO-Marco|2024-01-08|2024-01-15|High|Task to microservice backend, ordering component, and performance. Unique task identifier: 3b155169-64f2-46e1-8217-33662f6dc017.|functional, Materazzi|8|1
ECOM-57759|Enhance design, optimize microservice backend.|Bug|In Progress|DEV-Sergio|PO-Giulia|2024-01-01|2024-01-06|High|Task to design, microservice backend, and frontend Angular. Unique task identifier: 3336c7c2-307f-433d-961e-c6dfcf949be2.|functional, Materazzi|5|1
ECOM-87331|Enhance ordering component, optimize DevOps activities.|Bug|In Progress|DEV-Giulia|PO-Sergio|2024-01-01|2024-01-11|Medium|Task to ordering component, DevOps activities, and cart component. Unique task identifier: 12f7819d-837a-48ca-bd56-d0182cb9fe69.|functional, Materazzi|20|1
ECOM-43361|Enhance ordering component, optimize cart component.|Story|Open|DEV-Anna|PO-Giulia|2024-01-09|2024-01-19|Medium|Task to ordering component, cart component, and performance. Unique task identifier: 3e0704aa-bffd-4ddc-9cbd-f802ee714dee.|technical, Materazzi|20|1
ECOM-81017|Enhance backend Java, optimize cart component.|Story|Open|DEV-Anna|PO-Anna|2024-01-09|2024-01-11|Low|Task to backend Java, cart component, and design. Unique task identifier: 13c09942-36b8-41c5-97eb-00b03a9eaaad.|functional, Materazzi|2|1
ECOM-16552|Enhance backend Java, optimize frontend Angular.|Task|In Progress|DEV-Luca|PO-Sergio|2024-01-02|2024-01-03|High|Task to backend Java, frontend Angular, and ordering component. Unique task identifier: 2255cf74-ecdd-4d2a-891b-064669284621.|functional, Materazzi|1|1
ECOM-45055|Enhance microservice backend, optimize implementation.|Task|Done|DEV-Marco|PO-Luca|2024-01-16|2024-01-23|Low|Task to microservice backend, implementation, and cart component. Unique task identifier: be7904bd-d101-4a6f-a481-874cefc324c6.|functional, Materazzi|8|2
ECOM-12241|Enhance design, optimize ordering component.|Story|In Progress|DEV-Giulia|PO-Giulia|2024-01-17|2024-01-24|High|Task to design, ordering component, and cart component. Unique task identifier: e1742f55-a27d-4163-b130-c187d7dd4d9b.|functional, Materazzi|8|2
ECOM-02856|Enhance implementation, optimize backend Java.|Bug|Open|DEV-Anna|PO-Marco|2024-01-18|2024-01-25|Medium|Task to implementation, backend Java, and ordering component. Unique task identifier: 49bcf124-4896-4fa7-ad37-311a48e2a404.|functional, Materazzi|8|2
ECOM-24388|Enhance implementation, optimize backend Java.|Task|Open|DEV-Anna|PO-Marco|2024-01-20|2024-01-27|Low|Task to implementation, backend Java, and design. Unique task identifier: b8c364b8-6cf1-476e-a237-b52510a1afcc.|functional, Materazzi|8|2
